[Sat Aug 18 01:19:30 2012] common.cc           (00051) RegisterComponents():  registering built-in components
[Sat Aug 18 01:20:11 2012] dictionary.cc       (00267)             Load():  Exiting function , Load
[Sat Aug 18 01:20:15 2012] recognizer.cc       (00060)         GetMatch():  input[0,1] 'X' matches pattern: uppercase
[Sat Aug 18 01:20:15 2012] recognizer.cc       (00060)         GetMatch():  input[0,1] 'X' matches pattern: uppercase
[Sat Aug 18 01:20:15 2012] recognizer.cc       (00067)         GetMatch():  input[0,2] 'XX' matches pattern: uppercase
[Sat Aug 18 01:20:15 2012] recognizer.cc       (00067)         GetMatch():  input[0,2] 'XX' matches pattern: uppercase
[Sat Aug 18 01:20:16 2012] recognizer.cc       (00067)         GetMatch():  input[0,3] 'XXX' matches pattern: uppercase
[Sat Aug 18 01:20:16 2012] recognizer.cc       (00067)         GetMatch():  input[0,3] 'XXX' matches pattern: uppercase
[Sat Aug 18 01:20:16 2012] recognizer.cc       (00067)         GetMatch():  input[0,4] 'XXXX' matches pattern: uppercase
[Sat Aug 18 01:20:16 2012] recognizer.cc       (00067)         GetMatch():  input[0,4] 'XXXX' matches pattern: uppercase
[Sat Aug 18 10:50:49 2012] switcher.cc         (00208)         Activate():  Entering function , Activate
[Sat Aug 18 10:50:49 2012] config.cc           (00411)     LoadFromFile():  loading config file '/home/alycolas/.config/fcitx/rime/luna_pinyin.schema.yaml'.
[Sat Aug 18 10:50:49 2012] config.cc           (00411)     LoadFromFile():  loading config file '/home/alycolas/.config/fcitx/rime/cangjie5.schema.yaml'.
[Sat Aug 18 10:50:49 2012] config.cc           (00411)     LoadFromFile():  loading config file '/home/alycolas/.config/fcitx/rime/luna_pinyin_fluency.schema.yaml'.
[Sat Aug 18 10:50:49 2012] config.cc           (00411)     LoadFromFile():  loading config file '/home/alycolas/.config/fcitx/rime/wubi86.schema.yaml'.
[Sat Aug 18 10:50:49 2012] switcher.cc         (00208)         Activate():  Exiting function , Activate
[Sat Aug 18 10:50:53 2012] switcher.cc         (00196)         OnSelect():  Entering function , OnSelect
[Sat Aug 18 10:50:53 2012] config.cc           (00411)     LoadFromFile():  loading config file '/home/alycolas/.config/fcitx/rime/luna_pinyin.schema.yaml'.
[Sat Aug 18 10:50:53 2012] engine.cc           (00112)   OnOptionUpdate():  option = 'auto_commit'
[Sat Aug 18 10:50:53 2012] dictionary.cc       (00267)             Load():  Entering function , Load
[Sat Aug 18 10:50:53 2012] table.cc            (00195)             Load():  Load file: /home/alycolas/.config/fcitx/rime/luna_pinyin.table.bin
[Sat Aug 18 10:50:53 2012] prism.cc            (00075)             Load():  Load file: /home/alycolas/.config/fcitx/rime/luna_pinyin.prism.bin
[Sat Aug 18 10:50:53 2012] prism.cc            (00102)             Load():  Found double array image of size 1792.
[Sat Aug 18 10:50:53 2012] dictionary.cc       (00267)             Load():  Exiting function , Load
[Sat Aug 18 10:50:53 2012] engine.cc           (00112)   OnOptionUpdate():  option = 'ascii_mode'
[Sat Aug 18 10:50:53 2012] config.cc           (00316)          SetItem():  key = 'var/previously_selected_schema'
[Sat Aug 18 10:50:53 2012] switcher.cc         (00196)         OnSelect():  Exiting function , OnSelect
[Sat Aug 18 10:50:54 2012] simplifier.cc       (00042)           Opencc():  config_path = 'zht2zhs.ini'
[Sat Aug 18 11:02:20 2012] engine.cc           (00086)  ~ConcreteEngine():  Entering function , ~ConcreteEngine
[Sat Aug 18 11:02:20 2012] user_db.cc          (00185)            Close():  closed db 'luna_pinyin.userdb.kct'.
[Sat Aug 18 11:02:20 2012] engine.cc           (00086)  ~ConcreteEngine():  Exiting function , ~ConcreteEngine
